label,side,entry_time,exit_time,entry,exit,reason,pnl_pct,bars_held
5m+30m|thr18,short,2020-07-24 01:20:00,2020-07-24 01:30:00,26673.8,26693.2,score,-0.48739344997759226,2
5m+30m|thr18,short,2020-07-24 01:40:00,2020-07-24 01:55:00,26687.3,26705.2,score,-0.8938300789045284,3
5m+30m|thr18,short,2020-07-24 03:00:00,2020-07-24 03:05:00,26657.3,26676.7,score,-0.6411695916111828,1
5m+30m|thr18,short,2020-07-24 04:10:00,2020-07-24 04:30:00,26702.3,26701.2,score,0.04244318272692868,4
5m+30m|thr18,short,2020-07-24 09:00:00,2020-07-24 09:00:00,26509.8,26544.40714285714,sl,-0.9802005006223363,0
5m+30m|thr18,short,2020-07-24 10:20:00,2020-07-24 10:55:00,26426.3,26451.2,score,-0.48136736474109393,7
5m+30m|thr18,short,2020-07-24 11:50:00,2020-07-24 11:55:00,26503.8,26546.2,score,-0.8482000004744694,1
5m+30m|thr18,short,2020-07-24 12:10:00,2020-07-24 12:10:00,26541.8,26554.7,score,-0.2633946966045108,0
5m+30m|thr18,short,2020-07-24 12:25:00,2020-07-24 12:30:00,26538.8,26558.2,score,-0.507555059127682,1
5m+30m|thr18,long,2020-07-24 13:10:00,2020-07-24 13:10:00,26625.2,26606.8,score,-0.5508191900161367,0
5m+30m|thr18,long,2020-07-24 14:05:00,2020-07-24 14:10:00,26611.2,26584.8,score,-0.6551360469003134,1
5m+30m|thr18,long,2020-07-24 14:20:00,2020-07-24 14:40:00,26568.2,26548.8,score,-0.4478097669048479,4
5m+30m|thr18,long,2020-07-24 15:50:00,2020-07-24 15:55:00,26591.2,26557.02142857143,sl,-0.9328556743684226,1
5m+30m|thr18,long,2020-07-24 16:05:00,2020-07-24 16:15:00,26555.2,26521.825,sl,-0.9235271176247385,2
5m+30m|thr18,long,2020-07-24 17:45:00,2020-07-24 18:05:00,26573.2,26573.8,score,0.00805036845927518,4
5m+30m|thr18,long,2020-07-24 18:25:00,2020-07-24 18:45:00,26544.7,26502.3,score,-0.6688495712125845,4
5m+30m|thr18,short,2020-07-24 21:40:00,2020-07-24 21:50:00,26511.8,26470.7,score,0.9435976329427417,2
5m+30m|thr18,long,2020-07-27 04:10:00,2020-07-27 04:10:00,26531.2,26527.8,score,-0.06912890569079735,0
5m+30m|thr18,long,2020-07-27 04:40:00,2020-07-27 04:40:00,26548.2,26530.8,score,-0.40830725698499093,0
5m+30m|thr18,long,2020-07-27 04:55:00,2020-07-27 05:00:00,26553.2,26538.8,score,-0.37101128910810804,1
5m+30m|thr18,long,2020-07-27 05:30:00,2020-07-27 05:30:00,26510.7,26536.3,score,0.6903124783756993,0
5m+30m|thr18,long,2020-07-27 11:40:00,2020-07-27 11:40:00,26536.7,26521.3,score,-0.4018119012867801,0
5m+30m|thr18,long,2020-07-27 12:20:00,2020-07-27 12:40:00,26536.7,26553.3,score,0.47550467369155275,4
5m+30m|thr18,long,2020-07-27 13:05:00,2020-07-27 13:05:00,26555.7,26537.3,score,-0.6231882383934626,0
5m+30m|thr18,long,2020-07-27 13:25:00,2020-07-27 13:35:00,26555.2,26556.8,score,0.05524383466223955,2
5m+30m|thr18,long,2020-07-27 13:50:00,2020-07-27 14:00:00,26540.7,26516.807142857142,sl,-0.9105959647030388,2
5m+30m|thr18,long,2020-07-27 15:20:00,2020-07-27 15:20:00,26556.2,26543.3,score,-0.4978871404071693,0
5m+30m|thr18,long,2020-07-27 15:35:00,2020-07-27 15:55:00,26498.2,26505.3,score,0.21370073545560142,4
5m+30m|thr18,long,2020-07-27 18:25:00,2020-07-27 18:35:00,26534.2,26497.289285714287,sl,-0.8986481410064927,2
5m+30m|thr18,long,2020-07-27 20:25:00,2020-07-27 20:30:00,26544.7,26551.8,score,0.2814076975779503,1
5m+30m|thr18,long,2020-07-27 23:55:00,2020-07-28 01:10:00,26616.7,26626.8,score,0.33923674503036794,3
5m+30m|thr18,long,2020-07-28 03:45:00,2020-07-28 04:15:00,26639.2,26692.8,score,1.8752006283361642,6
5m+30m|thr18,short,2020-07-28 12:20:00,2020-07-28 12:20:00,26590.3,26569.2,score,0.9284494178156114,0
5m+30m|thr18,short,2020-07-28 16:05:00,2020-07-28 16:20:00,26491.3,26497.7,score,-0.18997556525940976,3
5m+30m|thr18,short,2020-07-28 17:55:00,2020-07-28 17:55:00,26442.8,26458.7,score,-0.24433128494035258,0
5m+30m|thr18,short,2020-07-28 18:55:00,2020-07-28 19:10:00,26499.3,26482.2,score,0.3366101402355919,3
5m+30m|thr18,long,2020-07-28 21:40:00,2020-07-28 21:45:00,26539.7,26517.3,score,-0.767210356749566,1
5m+30m|thr18,long,2020-07-28 22:05:00,2020-07-28 22:20:00,26493.7,26484.3,score,-0.2594456182020968,3
5m+30m|thr18,long,2020-07-28 22:30:00,2020-07-28 22:40:00,26457.7,26420.46785714286,sl,-0.9126610776348705,2
5m+30m|thr18,short,2020-07-29 02:05:00,2020-07-29 02:10:00,26405.3,26399.7,score,0.2683223568246044,1
5m+30m|thr18,short,2020-07-29 03:35:00,2020-07-29 03:45:00,26419.3,26439.7,score,-0.7204336044144986,2
5m+30m|thr18,short,2020-07-29 04:05:00,2020-07-29 04:05:00,26427.3,26421.2,score,0.1909844290155629,0
5m+30m|thr18,short,2020-07-29 06:55:00,2020-07-29 07:15:00,26331.8,26334.2,score,-0.10483469948198687,4
5m+30m|thr18,short,2020-07-29 09:25:00,2020-07-29 09:25:00,26380.3,26400.067857142858,sl,-0.8998748516779586,0
5m+30m|thr18,long,2020-07-29 10:40:00,2020-07-29 10:55:00,26415.7,26421.8,score,0.23924785915076974,3
5m+30m|thr18,long,2020-07-29 11:25:00,2020-07-29 11:35:00,26430.7,26409.8,score,-0.5896681038259641,2
5m+30m|thr18,long,2020-07-29 11:50:00,2020-07-29 11:55:00,26409.2,26410.8,score,0.04359019863154763,1
5m+30m|thr18,long,2020-07-29 14:00:00,2020-07-29 14:05:00,26406.2,26415.3,score,0.4143103079269468,1
5m+30m|thr18,long,2020-07-29 14:15:00,2020-07-29 14:15:00,26420.2,26401.71785714286,sl,-0.891950905780012,0
5m+30m|thr18,long,2020-07-29 16:25:00,2020-07-29 16:30:00,26429.2,26408.52142857143,sl,-0.8830313967222116,1
5m+30m|thr18,long,2020-07-29 17:35:00,2020-07-29 18:00:00,26413.2,26446.3,score,0.668489738859157,5
5m+30m|thr18,long,2020-07-29 18:30:00,2020-07-29 18:40:00,26464.7,26453.3,score,-0.340822793771954,2
5m+30m|thr18,long,2020-07-29 19:25:00,2020-07-29 19:40:00,26468.2,26476.8,score,0.3172622263230335,3
5m+30m|thr18,long,2020-07-29 20:15:00,2020-07-29 20:25:00,26484.7,26489.3,score,0.19439206209353957,2
5m+30m|thr18,long,2020-07-29 21:00:00,2020-07-29 21:00:00,26468.2,26450.039285714287,sl,-0.8825942950900273,0
5m+30m|thr18,long,2020-07-29 22:10:00,2020-07-29 22:40:00,26491.2,26566.3,score,1.373213819789343,6
5m+30m|thr18,short,2020-07-30 12:10:00,2020-07-30 12:20:00,26277.3,26314.425,sl,-0.8875004903370204,2
5m+30m|thr18,short,2020-07-30 14:05:00,2020-07-30 14:15:00,26302.3,26320.7,score,-0.42563972740523837,2
5m+30m|thr18,short,2020-07-30 15:05:00,2020-07-30 15:20:00,26335.3,26321.7,score,0.34846650839470356,3
5m+30m|thr18,short,2020-07-30 18:30:00,2020-07-30 18:40:00,26203.3,26266.889285714286,sl,-0.877853753243545,2
5m+30m|thr18,short,2020-07-30 18:50:00,2020-07-30 19:15:00,26243.3,26300.835714285713,sl,-0.8690752157111096,5
5m+30m|thr18,long,2020-07-30 20:10:00,2020-07-30 20:20:00,26335.7,26331.8,score,-0.07732838141574346,2
5m+30m|thr18,long,2020-07-30 20:40:00,2020-07-30 20:50:00,26268.2,26291.3,score,0.522798788016659,2
5m+30m|thr18,long,2020-07-30 22:15:00,2020-07-30 22:35:00,26300.7,26313.8,score,0.23682195347740206,4
5m+30m|thr18,long,2020-07-30 22:50:00,2020-07-30 22:55:00,26298.2,26314.3,score,0.2886209598592397,1
5m+30m|thr18,long,2020-07-30 23:30:00,2020-07-30 23:40:00,26361.7,26487.8,score,2.1811334550349404,2
5m+30m|thr18,long,2020-07-31 02:20:00,2020-07-31 02:30:00,26524.7,26511.8,score,-0.4668928422998852,2
5m+30m|thr18,short,2020-07-31 09:50:00,2020-07-31 10:10:00,26359.3,26348.2,score,0.31860537226493085,4
5m+30m|thr18,short,2020-07-31 10:50:00,2020-07-31 10:55:00,26389.3,26373.7,score,0.2877812462628967,1
5m+30m|thr18,short,2020-07-31 11:35:00,2020-07-31 11:35:00,26387.3,26429.460714285713,sl,-0.8932998690660029,0
5m+30m|thr18,short,2020-07-31 11:50:00,2020-07-31 11:50:00,26393.8,26387.7,score,0.13320093603181,0
