date,pnl_pct,goal_hit,breached,trades,closed
2026-04-28,0.528,False,False,3,3
2026-04-29,-0.218,False,False,8,8
2026-04-30,0.099,False,False,6,6
2026-05-01,0.472,False,False,8,8
2026-05-04,-0.103,False,False,21,21
2026-05-05,-0.349,False,False,11,11
2026-05-06,0.371,False,False,13,13
2026-05-07,-0.212,False,False,18,18
2026-05-08,-0.33,False,False,8,8
2026-05-11,0.15,False,False,8,8
2026-05-12,-0.033,False,False,17,17
2026-05-13,-0.189,False,False,8,8
2026-05-14,-0.275,False,False,8,8
2026-05-15,-0.068,False,False,19,19
2026-05-18,-0.082,False,False,8,8
2026-05-19,0.11,False,False,6,6
2026-05-20,-0.845,False,False,32,32
2026-05-21,-0.151,False,False,7,7
2026-05-22,-0.337,False,False,10,10
2026-05-25,-0.784,False,False,18,18
2026-05-26,-0.601,False,False,20,20
