combo,variant,eu_ret,eu_pf,eu_sh,eu_n,eu_oos_pf,gb_ret,gb_pf,gb_sh,gb_n,robust,score
30m+4h,h_thr50_soft_min4_atr,15.250183649250415,3.392388707750273,0.9826239908499941,23,inf,-2.4985657365786618,0.8594896969012258,-0.1539788881217666,33,False,2.4118869482400025
30m+4h,h_thr50_soft_atr,12.942768043576836,2.905442182795597,0.8734401064184892,23,6.796129646432081,-4.777634176925072,0.7372629158908549,-0.3170186048116933,33,False,1.9260003247279105
30m+4h,h_thr50_hard_atr,15.137537340153195,2.561250833805012,0.8819995682208794,23,3.3990115509014878,-3.852341547090865,0.8258198959717485,-0.2151427049708955,33,False,1.8637890864891917
1h+1d,h_thr50_nm515_soft,16.63858905322011,1.9973326620811969,0.8163469674156538,42,2.468195044364824,-3.3112087207223806,0.8216179634146453,-0.32292250925733157,34,False,1.6117244077474324
1h+1d,h_thr50_nm515_hard,18.84955477589738,1.9197244861708136,0.8253065620333896,41,2.467671618098073,-4.813818131620396,0.7916936720808067,-0.37205522031785515,34,False,1.5253920870995321
1h+1d,h_thr50_hard_atr,8.471682584966844,1.8237466822268247,0.5603444871062101,21,2.2913880276937055,-1.4838067098256746,0.8873956505141107,-0.10711960478634219,20,False,1.485438123659826
30m+4h,h_thr50_soft_min4,16.742997850483697,2.061347357067227,0.8017754950746061,39,2.6541207660301196,-7.685854983011708,0.7221108067683908,-0.4104934224256295,48,False,1.3737525971335733
30m+4h,h_thr50_hard,18.082021635267065,1.9086828473378314,0.7912084330401146,39,2.0674108289643027,-8.03126962089088,0.7526644005040569,-0.38298251652323334,48,False,1.3137297595594326
1h+1d,h_thr50_soft_atr,5.17395083035419,1.5141519852219711,0.38086745037641145,21,1.8090255804644229,-0.7945384811181455,0.9190409515623182,-0.06470976077596564,20,False,1.261944474727267
1h+1d,anchor_soft55,8.34132857833827,1.6085173046728538,0.5091781773788598,32,1.9029082673620366,-2.4408914407414994,0.8363675640320487,-0.1743609868718562,29,False,1.2409870314246993
1h+1d,h_thr50_soft_min4_atr,5.17395083035419,1.5141519852219711,0.38086745037641145,21,1.8090255804644229,-1.7868483995549855,0.8343836357814919,-0.15435262452627532,20,False,1.1541573346209062
1h+1d,h_thr45_hard,9.421996857333625,1.4938385872220872,0.4910590056813718,36,1.955816331551204,-2.249880572876428,0.9015174321592844,-0.11970916486351725,34,True,1.141166243409683
30m+4h,anchor_soft55,8.398883651427425,1.5212913297399102,0.48206607386487593,37,1.8269187801708056,-4.369169402467843,0.8091137937857138,-0.23616431626635298,41,False,1.047567419031999
30m+4h,h_thr45_hard,14.908489760704825,1.5655592878101796,0.6359973091962725,47,1.7303635672905584,-8.35913814469238,0.7556750276198587,-0.38738090308589546,51,False,0.9960225421975322
1h+1d,h_thr50_soft_min4,7.835597770084646,1.5532237307672414,0.4793146688690911,33,1.792959208575673,-5.308576219465733,0.6992143033750539,-0.3812259786802122,31,False,0.9797241692768155
30m+4h,h_thr50_soft_min4_tp3,8.493393688078044,1.4868650434857762,0.4578778747613559,39,2.1108353742636354,-6.811500215111588,0.766047776456738,-0.3280863237699413,48,False,0.8159576398149337
1h+1d,h_thr50_soft_min4_tp3,7.028126704778148,1.4624979435456873,0.4003905527323182,33,1.7589910975870608,-5.963430074212606,0.6810793794360466,-0.3814410245288734,31,False,0.8122301946163053
1h+1d,h_thr50_hard_rr12_25,6.934254592496636,1.3514173834252956,0.34683150998140594,33,1.9222552546051255,-5.460560670846625,0.7547898739004237,-0.3099354647485535,30,False,0.6999767172648963
30m+4h,h_thr50_hard_rr12_25,10.379127845807258,1.4401755334661497,0.4623289303146955,39,1.9626047813442422,-10.808161238511937,0.6939392914917467,-0.48711241601450683,48,False,0.6066050780013343
1h+1d,h_thr50_hard,6.933128296238733,1.3857290950118162,0.3879295137229241,33,1.8476680292873844,-8.50382091087688,0.6092299440029392,-0.5816783484137574,30,False,0.5310464976117868
30m+4h,h_thr50_nm515_hard,9.131856552990492,1.2323278846431291,0.3641607221069588,68,1.5959539489329586,-20.208547809284617,0.5967109318351476,-0.9377212735386331,78,False,-0.08343970056902272
30m+4h,h_thr50_nm515_soft,-7.122752041644631,0.7845051084092612,-0.3428383120013175,68,1.1832080494902961,-14.883618669552368,0.6361314845200973,-0.785137742948625,81,False,-0.5960240953734102
