n_trades,total_return_pct,cagr_pct,max_dd_pct,sharpe,win_rate_pct,profit_factor,avg_bars,avg_duration_min,final_equity,variant,score,pct_tp,pct_sl,pct_signal,symbol,combo
64,3.7298228280373324,0.6867961487963647,-6.73589223391724,0.1811540689597163,37.5,1.1084415066237843,5.234375,157.03125,103729.82282803733,C_soft_exit,2.9476927437508205,34.375,45.3125,20.3125,EURUSD,30m+4h
64,-10.454502952245981,-2.0427513765535643,-10.860733975558535,-0.5589206745080515,21.875,0.6692209586788826,5.109375,153.28125,89545.49704775402,E_soft_be1R,0.13974827927668276,20.3125,62.5,17.1875,EURUSD,30m+4h
64,-10.811907656689845,-2.115947411511565,-10.811907656689845,-0.6447001205495579,39.0625,0.655389695122083,4.734375,142.03125,89188.09234331016,F_soft_be_trail,-0.05264090030193841,4.6875,78.125,17.1875,EURUSD,30m+4h
63,-10.474492934542457,-2.046839022561131,-11.066503654546944,-0.5978106968873643,46.03174603174603,0.6824734072880607,7.444444444444445,223.33333333333334,89525.50706545754,G_hard_be_trail,0.09334672362288149,6.349206349206349,93.65079365079364,0.0,EURUSD,30m+4h
75,5.223152609077486,0.9561517206392534,-13.435126605354153,0.2175288289165747,40.0,1.11048022518681,6.12,183.6,105223.15260907749,J_star_soft,2.783694679938856,40.0,57.333333333333336,2.666666666666667,EURUSD,30m+4h
64,3.7298228280373324,0.6867961487963647,-6.73589223391724,0.1811540689597163,37.5,1.1084415066237843,5.234375,157.03125,103729.82282803733,K_ddvmr_soft,2.9476927437508205,34.375,45.3125,20.3125,EURUSD,30m+4h
62,-5.5178134140896,-1.0552631125654743,-8.376118583004466,-0.298857883056659,32.25806451612903,0.8137100138316914,6.548387096774194,196.45161290322582,94482.1865859104,L_rr_2_3_soft,1.1405189005457197,25.806451612903224,38.70967741935484,35.483870967741936,EURUSD,30m+4h
64,-0.022334108934030095,-0.004174809763268783,-10.819238273066368,0.021897567458087085,32.8125,0.9994061832642618,3.5625,106.875,99977.66589106598,M_rr_1_2_soft,2.168826537028546,29.6875,54.6875,15.625,EURUSD,30m+4h
174,-1.4649930735388783,-0.27494962385279376,-11.411376889860813,-0.011226557005445477,37.35632183908046,0.9833379655377279,5.511494252873563,165.3448275862069,98535.00692646112,N_n5m10_soft,2.133707139537002,29.310344827586203,44.252873563218394,26.436781609195403,EURUSD,30m+4h
33,-4.293634804238278,-0.816968690182085,-6.087366740848754,-0.2894093074760327,30.303030303030305,0.7575749937897788,6.333333333333333,190.0,95706.36519576173,O_n8m21_soft,1.0981015393200635,24.242424242424242,42.42424242424242,33.33333333333333,EURUSD,30m+4h
43,0.7915035076437205,0.1474648115205035,-8.740901407472368,0.058998366664593384,37.2093023255814,1.0335267402282462,4.674418604651163,140.2325581395349,100791.50350764372,P_session_soft,2.395250406882645,32.55813953488372,46.51162790697674,20.930232558139537,EURUSD,30m+4h
39,-3.32389973163707,-0.6298324492641116,-4.210922609762491,-0.276534644633769,46.15384615384615,0.7836912241028258,6.589743589743589,197.69230769230768,96676.10026836293,Q_composite_v1,1.2821702995512245,2.564102564102564,69.23076923076923,28.205128205128204,EURUSD,30m+4h
37,1.3410423968965857,0.24929640506232698,-4.335597494606347,0.09938136836369289,51.35135135135135,1.0744228791738237,10.945945945945946,328.3783783783784,101341.04239689658,R_composite_v2,2.7486353971584014,10.81081081081081,89.1891891891892,0.0,EURUSD,30m+4h
81,-8.949375146967753,-1.73386064959834,-10.28573975175796,-0.4727417258303409,48.148148148148145,0.7379519441536903,4.333333333333333,130.0,91050.62485303225,S_composite_v3,0.5292745366147771,6.172839506172839,74.07407407407408,19.753086419753085,EURUSD,30m+4h
282,-33.99552679721649,-7.453202112149193,-36.427800133358765,-0.8184095518509539,32.269503546099294,0.7713670763474851,10.620567375886525,53.10283687943262,66004.47320278351,B_hard_sltp_only,-1.2297644097556022,32.269503546099294,67.73049645390071,0.0,EURUSD,5m+30m
284,-44.29734984962711,-10.335343492387484,-44.81776000112535,-1.3099690881739365,28.169014084507044,0.6430022084951192,6.580985915492958,32.90492957746479,55702.650150372894,D_soft_min4,-2.3656651265516224,24.295774647887324,51.76056338028169,23.943661971830984,EURUSD,5m+30m
187,-37.18653004240268,-8.304269308045475,-38.908565742419334,-1.3547672226240453,26.737967914438503,0.5845781303697251,6.572192513368984,32.86096256684492,62813.46995759733,H_htf0.55_soft,-2.265695254408501,21.92513368983957,51.33689839572193,26.737967914438503,EURUSD,5m+30m
198,-29.131831808570674,-6.218270566539563,-30.53191996697836,-0.9347112081266082,28.78787878787879,0.690430875217059,6.474747474747475,32.37373737373738,70868.16819142933,I_strong_regime_soft,-1.4166572623929419,25.252525252525253,47.97979797979798,26.767676767676768,EURUSD,5m+30m
283,-47.67077732361392,-11.373642761806801,-48.43447494831784,-1.5348960366516893,31.448763250883395,0.597146082054859,5.240282685512367,26.20141342756184,52329.222676386074,T_minbars_baseline,-2.676575452649775,19.081272084805654,51.590106007067135,29.328621908127207,EURUSD,5m+30m
291,-60.368541325327165,-15.849074769783055,-60.368541325327165,-2.672907075756284,20.962199312714777,0.3943136291943741,2.810996563573883,14.054982817869416,39631.45867467284,A_baseline,-3.8434856999070584,11.683848797250858,23.367697594501717,64.94845360824742,EURUSD,5m+30m
40,-5.4912858657393375,-1.047671463751254,-6.793465209301008,-0.2852813841082252,32.5,0.7928275815112357,15.95,239.25,94508.71413426066,B_hard_sltp_only,1.1544545660251535,32.5,67.5,0.0,EURUSD,15m+1h
41,-4.99868038584731,-0.9516951101837479,-8.587859890180694,-0.2991393408349357,29.268292682926827,0.770899766024422,6.609756097560975,99.14634146341463,95001.31961415269,D_soft_min4,1.0113040001632334,24.390243902439025,41.46341463414634,34.146341463414636,EURUSD,15m+1h
28,-0.5267714590488803,-0.09844291455327614,-5.242052067508263,-0.029021425319412333,35.714285714285715,0.9584856704043907,5.428571428571429,81.42857142857143,99473.22854095112,H_htf0.55_soft,2.154391955849971,25.0,32.142857142857146,42.857142857142854,EURUSD,15m+1h
23,2.314410258466837,0.42758158581959194,-5.325129587191368,0.1825722192852188,39.130434782608695,1.2072777799830894,6.043478260869565,90.65217391304348,102314.41025846683,I_strong_regime_soft,-100.0,34.78260869565217,43.47826086956522,21.73913043478261,EURUSD,15m+1h
41,-0.37539829388538726,-0.07011099702144419,-4.508075105558762,-0.009862260241975444,36.58536585365854,0.9801738435574435,6.024390243902439,90.36585365853658,99624.60170611461,T_minbars_baseline,2.287728561827422,21.951219512195124,34.146341463414636,43.90243902439025,EURUSD,15m+1h
41,-4.883442346984634,-0.9293012593558525,-8.460006830830302,-0.40589424409122205,29.268292682926827,0.6891674355662353,2.2439024390243905,33.65853658536586,95116.55765301536,A_baseline,0.621657041113407,12.195121951219512,9.75609756097561,78.04878048780488,EURUSD,15m+1h
63,11.746049959393323,2.0974735992975058,-7.786759573459168,0.4654317872892124,44.44444444444444,1.3029419593502996,8.253968253968255,247.61904761904765,111746.04995939332,B_hard_sltp_only,4.022852481948864,44.44444444444444,55.55555555555556,0.0,EURUSD,30m+4h
63,6.5399603480736035,1.1911008969130776,-6.735892233917252,0.29769202730783,41.269841269841265,1.1944794487630186,5.857142857142857,175.7142857142857,106539.9603480736,D_soft_min4,3.413707986926055,36.507936507936506,46.03174603174603,17.46031746031746,EURUSD,30m+4h
37,8.398883651427425,1.5187889245848352,-2.8525895223524,0.48206607386487593,43.24324324324324,1.5212913297399102,6.027027027027027,180.8108108108108,108398.88365142742,H_htf0.55_soft,4.719826931183868,37.83783783783784,35.13513513513514,27.027027027027028,EURUSD,30m+4h
47,4.242129459627542,0.7795553931327248,-4.842253070010461,0.22493210178167836,38.297872340425535,1.1831943558406488,5.25531914893617,157.6595744680851,104242.12945962754,I_strong_regime_soft,3.279805491902638,34.04255319148936,40.42553191489361,25.53191489361702,EURUSD,30m+4h
63,10.134554062066536,1.8206509082756117,-5.723087611677869,0.44940649986007863,44.44444444444444,1.3249324516382568,4.492063492063492,134.76190476190476,110134.55406206654,T_minbars_baseline,4.107357635307666,33.33333333333333,41.269841269841265,25.396825396825395,EURUSD,30m+4h
66,1.1244951851279383,0.20922313462607978,-7.366040650366445,0.07434702187277999,31.818181818181817,1.0404442959320914,2.742424242424242,82.27272727272727,101124.49518512793,A_baseline,2.5231611809634935,22.727272727272727,24.242424242424242,53.03030303030303,EURUSD,30m+4h
45,11.171879370743977,2.0234431963874755,-5.640496402531192,0.5697937541688624,46.666666666666664,1.4641138338286666,10.911111111111111,654.6666666666667,111171.87937074398,B_hard_sltp_only,4.6728716765355305,46.666666666666664,53.333333333333336,0.0,EURUSD,1h+1d
46,10.735327072762878,1.9475431992272307,-4.256451833243313,0.599066588401876,43.47826086956522,1.525296371364969,8.652173913043478,519.1304347826087,110735.32707276287,D_soft_min4,4.92833262029751,39.130434782608695,36.95652173913043,23.91304347826087,EURUSD,1h+1d
32,8.34132857833827,1.5269498841051332,-2.6905162489980206,0.5091781773788598,43.75,1.6085173046728538,9.0,540.0,108341.32857833826,H_htf0.55_soft,4.987313259679237,40.625,34.375,25.0,EURUSD,1h+1d
26,5.449408154598667,1.0087080790316394,-3.2893452861043504,0.3771887195753237,42.30769230769231,1.4654428013212708,7.384615384615385,443.0769230769231,105449.40815459867,I_strong_regime_soft,4.318714009413565,38.46153846153847,38.46153846153847,23.076923076923077,EURUSD,1h+1d
47,-2.268320268776791,-0.43305499097994193,-10.245809863507649,-0.06741563304388301,40.42553191489361,0.8857650316975604,6.23404255319149,374.0425531914894,97731.67973122321,T_minbars_baseline,1.6962072411929536,19.148936170212767,34.04255319148936,46.808510638297875,EURUSD,1h+1d
49,-5.652769217905718,-1.0946002747762806,-10.067524882381985,-0.3747209327384414,32.6530612244898,0.6805631857846107,2.9591836734693877,177.55102040816325,94347.23078209428,A_baseline,0.5884177519684671,10.204081632653061,20.408163265306122,69.38775510204081,EURUSD,1h+1d
293,-51.52996214946776,-12.632498896643707,-51.52996214946776,-2.071234937222822,25.938566552901023,0.43986188529108106,2.8771331058020477,14.38566552901024,48470.037850532244,A_baseline,-3.2414932049930236,10.580204778156997,21.501706484641637,67.91808873720136,GBPUSD,5m+30m
