n,wr,pf,ret,bh,dd,sharpe,avg_bars,avg_win,avg_loss,set,symbol,ltf
1472,30.230978260869566,0.7252489027106758,-95.00928903018418,-4.5463876047918905,-95.27513469617833,-2.417568180628958,11.421195652173912,563.5775724616379,-336.7101351271791,A_5m_30m_1h,EURUSD,5min
2397,33.249895702962036,0.811622787115099,-95.04596849432157,-4.4208206924335585,-95.1271821255622,-1.903923637688525,12.100542344597413,513.8084516688106,-315.3445652964773,B_15m_1h_4h,EURUSD,15min
2193,34.19972640218879,0.8773258746236728,-88.0496376792541,-4.372074658418812,-90.58640466566303,-1.4812455511188272,10.324213406292749,839.6035719325467,-497.40285282651706,C_30m_4h_1d,EURUSD,30min
