side,horizon,n,hit_rate,mean_ret,median_ret,mean_mfe,mean_mae,mfe_mae_ratio,p25,p75,symbol,set,ltf
short,15,2709,46.733111849390916,-0.014293127028464565,-0.011662001865920299,0.30629787859885227,0.3038375910007146,1.0080973772535338,-0.2121250689406474,0.17059613374973767,US30,B_15m_1h_4h,15min
short,20,2709,46.62236987818383,-0.017703740495312353,-0.01865737336767309,0.3565903173200137,0.3493424123904565,1.0207472802399278,-0.24285624902962455,0.1953451350554763,US30,B_15m_1h_4h,15min
any,1,7083,49.061132288578285,0.0007176032362286595,0.0,0.06055815738131191,0.059119554094376844,1.0243337979958123,-0.033741900753244534,0.032442619873522524,US30,B_15m_1h_4h,15min
any,2,7083,49.00465904277848,-0.0008782304185241505,0.0,0.08524009370866954,0.08525076024884175,0.9998748804099685,-0.0471877890400218,0.04595169560184356,US30,B_15m_1h_4h,15min
any,3,7083,49.3434985175773,-0.0004594548688730462,0.0,0.10540202562527287,0.1047489529322472,1.0062346465023673,-0.05830285014236983,0.05697098830974356,US30,B_15m_1h_4h,15min
any,5,7083,49.159960468727945,-0.001025117439489314,0.0,0.13664047004198998,0.13749291004965727,0.9938001166215813,-0.07585477555843348,0.07457756445145677,US30,B_15m_1h_4h,15min
any,8,7083,49.13172384582804,0.0012857480115392595,0.0,0.1753117111623042,0.17447866611240806,1.0047744808489047,-0.09723292444767162,0.0975062724231418,US30,B_15m_1h_4h,15min
any,10,7083,49.48468163207681,-7.755457488575267e-05,0.0,0.19511167731402657,0.19603403811719367,0.9952948946416352,-0.11415152750903737,0.11172815255479632,US30,B_15m_1h_4h,15min
any,15,7083,49.512918254976704,-0.00010863803939146815,0.0,0.24064913341824853,0.24112416073213955,0.9980299472585051,-0.14312484271509446,0.14237385786207463,US30,B_15m_1h_4h,15min
any,20,7083,49.3434985175773,0.0014785313937175286,0.0,0.2821235526312116,0.28068650608545054,1.0051197564350443,-0.16530416967932893,0.172664983256953,US30,B_15m_1h_4h,15min
long,1,2399,48.52021675698207,0.0009717701410193237,0.0,0.06681273431498333,0.06608334997917328,1.011037338997492,-0.037614741615464777,0.03871674741139458,US30,C_30m_4h_1d,30min
long,2,2399,49.270529387244686,0.0010796473643855198,0.0,0.09508762346790774,0.09660733302107244,0.9842692111909018,-0.055809543686664756,0.054680392155678006,US30,C_30m_4h_1d,30min
