side,threshold,n,n_decided,favor_n,adverse_n,none_n,favor_pct,adverse_pct,favor_given_touch,median_bars_favor,median_bars_adverse,thr_price,symbol,set,ltf
short,5,2709,2702,501,2201,7,18.49390919158361,81.24769287559985,18.541820873427092,1.0,1.0,5.0,US30,B_15m_1h_4h,15min
any,5,7083,7076,1643,5433,7,23.196385712268814,76.70478610758153,23.219332956472584,1.0,1.0,5.0,US30,B_15m_1h_4h,15min
long,10,4374,4374,1660,2714,0,37.95153177869227,62.04846822130773,37.95153177869227,1.0,1.0,10.0,US30,B_15m_1h_4h,15min
short,10,2709,2702,807,1895,7,29.789590254706535,69.95201181247693,29.866765358993337,1.0,1.0,10.0,US30,B_15m_1h_4h,15min
any,10,7083,7076,2467,4609,7,34.829874347028095,65.07129747282225,34.86433013001696,1.0,1.0,10.0,US30,B_15m_1h_4h,15min
long,20,4374,4374,2048,2326,0,46.822130772748054,53.177869227251946,46.822130772748054,2.0,1.0,20.0,US30,B_15m_1h_4h,15min
short,20,2709,2702,1150,1552,7,42.45108896271687,57.29051310446659,42.56106587712805,1.0,1.0,20.0,US30,B_15m_1h_4h,15min
any,20,7083,7076,3198,3878,7,45.150360016941974,54.75081180290837,45.19502543810062,1.0,1.0,20.0,US30,B_15m_1h_4h,15min
long,5,2399,2399,445,1954,0,18.549395581492288,81.45060441850771,18.549395581492288,1.0,1.0,5.0,US30,C_30m_4h_1d,30min
short,5,1057,1057,138,919,0,13.055818353831599,86.9441816461684,13.055818353831599,1.0,1.0,5.0,US30,C_30m_4h_1d,30min
any,5,3456,3456,583,2873,0,16.869212962962962,83.13078703703704,16.869212962962962,1.0,1.0,5.0,US30,C_30m_4h_1d,30min
long,10,2399,2399,728,1671,0,30.34597749062109,69.6540225093789,30.34597749062109,1.0,1.0,10.0,US30,C_30m_4h_1d,30min
short,10,1057,1057,216,841,0,20.43519394512772,79.56480605487228,20.43519394512772,1.0,1.0,10.0,US30,C_30m_4h_1d,30min
any,10,3456,3456,944,2512,0,27.314814814814813,72.68518518518519,27.314814814814813,1.0,1.0,10.0,US30,C_30m_4h_1d,30min
long,20,2399,2399,1038,1361,0,43.26802834514381,56.73197165485619,43.26802834514381,1.0,1.0,20.0,US30,C_30m_4h_1d,30min
short,20,1057,1057,345,712,0,32.639545884579,67.360454115421,32.639545884579,1.0,1.0,20.0,US30,C_30m_4h_1d,30min
any,20,3456,3456,1383,2073,0,40.017361111111114,59.982638888888886,40.017361111111114,1.0,1.0,20.0,US30,C_30m_4h_1d,30min
