combo,base_tf,htf_tf,n_trades,total_return_pct,cagr_pct,max_dd_pct,sharpe,win_rate_pct,profit_factor,avg_bars,avg_duration_min,final_equity
5m+30m,5min,30min,291,-60.368541325327165,-15.849074769783055,-60.368541325327165,-2.672907075756284,20.962199312714777,0.3943136291943741,2.810996563573883,14.054982817869416,39631.45867467284
15m+1h,15min,1h,41,-4.883442346984634,-0.9293012593558525,-8.460006830830302,-0.40589424409122205,29.268292682926827,0.6891674355662353,2.2439024390243905,33.65853658536586,95116.55765301536
30m+4h,30min,4h,66,1.1244951851279383,0.20922313462607978,-7.366040650366445,0.07434702187277999,31.818181818181817,1.0404442959320914,2.742424242424242,82.27272727272727,101124.49518512793
1h+1d,1h,1d,49,-5.652769217905718,-1.0946002747762806,-10.067524882381985,-0.3747209327384414,32.6530612244898,0.6805631857846107,2.9591836734693877,177.55102040816325,94347.23078209428
