symbol,combo,variant,ret,pf,sh,dd,n,oos_pf,oos_ret,pos
EURUSD,30m+4h,h_thr50_hard,18.082021635267065,1.9086828473378314,0.7912084330401146,-2.970100000000009,39,2.0674108289643027,13.691555480668095,3
EURUSD,30m+4h,h_thr50_soft_min4,16.742997850483697,2.061347357067227,0.8017754950746061,-2.8525895223524,39,2.6541207660301196,15.771108251628108,3
EURUSD,30m+4h,h_thr50_hard_atr,15.137537340153195,2.561250833805012,0.8819995682208794,-1.9900000000000029,23,3.3990115509014878,12.401801028981343,3
EURUSD,30m+4h,h_thr50_soft_atr,12.942768043576836,2.905442182795597,0.8734401064184892,-2.2189189189187775,23,6.796129646432081,12.370545895945352,3
EURUSD,30m+4h,h_thr50_soft_min4_atr,15.250183649250415,3.392388707750273,0.9826239908499941,-2.2189189189187775,23,inf,14.475720542269555,3
EURUSD,30m+4h,h_thr50_nm515_soft,-7.122752041644631,0.7845051084092612,-0.3428383120013175,-10.957805851239987,68,1.1832080494902961,1.4117768296179385,2
EURUSD,30m+4h,h_thr50_nm515_hard,9.131856552990492,1.2323278846431291,0.3641607221069588,-9.034344777824177,68,1.5959539489329586,15.603506566497718,3
EURUSD,30m+4h,h_thr50_soft_min4_tp3,8.493393688078044,1.4868650434857762,0.4578778747613559,-4.2429729318914315,39,2.1108353742636354,11.689473273066952,3
EURUSD,30m+4h,h_thr45_hard,14.908489760704825,1.5655592878101796,0.6359973091962725,-4.900995010000009,47,1.7303635672905584,11.292846018719915,3
EURUSD,30m+4h,h_thr50_hard_rr12_25,10.379127845807258,1.4401755334661497,0.4623289303146955,-5.803145777149943,39,1.9626047813442422,14.116623872289246,3
EURUSD,30m+4h,anchor_soft55,8.398883651427425,1.5212913297399102,0.48206607386487593,-2.8525895223524,37,1.8269187801708056,8.504090302801327,3
EURUSD,1h+1d,h_thr50_hard,6.933128296238733,1.3857290950118162,0.3879295137229241,-5.914457273195451,33,1.8476680292873844,7.359951972984247,2
EURUSD,1h+1d,h_thr50_soft_min4,7.835597770084646,1.5532237307672414,0.4793146688690911,-2.7047990118856613,33,1.792959208575673,7.072475190961825,2
EURUSD,1h+1d,h_thr50_hard_atr,8.471682584966844,1.8237466822268247,0.5603444871062101,-1.9900000000000029,21,2.2913880276937055,7.35248464665601,2
EURUSD,1h+1d,h_thr50_soft_atr,5.17395083035419,1.5141519852219711,0.38086745037641145,-2.915425266739813,21,1.8090255804644229,4.1780299319899905,2
EURUSD,1h+1d,h_thr50_soft_min4_atr,5.17395083035419,1.5141519852219711,0.38086745037641145,-2.915425266739813,21,1.8090255804644229,4.1780299319899905,2
EURUSD,1h+1d,h_thr50_nm515_soft,16.63858905322011,1.9973326620811969,0.8163469674156538,-3.3160115934999457,42,2.468195044364824,10.973566736833252,3
EURUSD,1h+1d,h_thr50_nm515_hard,18.84955477589738,1.9197244861708136,0.8253065620333896,-3.316011593499968,41,2.467671618098073,15.166891038242557,3
EURUSD,1h+1d,h_thr50_soft_min4_tp3,7.028126704778148,1.4624979435456873,0.4003905527323182,-3.7110835964704436,33,1.7589910975870608,7.075036378657617,2
EURUSD,1h+1d,h_thr45_hard,9.421996857333625,1.4938385872220872,0.4910590056813718,-5.302901245471214,36,1.955816331551204,9.735948379022796,2
EURUSD,1h+1d,h_thr50_hard_rr12_25,6.934254592496636,1.3514173834252956,0.34683150998140594,-8.506035368568178,33,1.9222552546051255,8.873842098314967,2
EURUSD,1h+1d,anchor_soft55,8.34132857833827,1.6085173046728538,0.5091781773788598,-2.6905162489980206,32,1.9029082673620366,7.560286495773482,2
GBPUSD,30m+4h,h_thr50_hard,-8.03126962089088,0.7526644005040569,-0.38298251652323334,-14.05123398020498,48,0.7435150055768042,-7.7440951821254105,1
GBPUSD,30m+4h,h_thr50_soft_min4,-7.685854983011708,0.7221108067683908,-0.4104934224256295,-12.972608674066011,48,0.6036373566204409,-8.77909351042434,0
GBPUSD,30m+4h,h_thr50_hard_atr,-3.852341547090865,0.8258198959717485,-0.2151427049708955,-10.785362661771513,33,0.8376650038831569,-3.7575762941952084,1
GBPUSD,30m+4h,h_thr50_soft_atr,-4.777634176925072,0.7372629158908549,-0.3170186048116933,-9.060148702600712,33,0.617348848823688,-6.062253029929899,1
