symbol,combo,variant,n_trades,total_return_pct,cagr_pct,max_dd_pct,sharpe,win_rate_pct,profit_factor,avg_bars,score,pct_tp,pct_sl,pct_signal,long_pnl,short_pnl,oos_ret,oos_pf,oos_sharpe,oos_trades,oos_score,pos_folds,n_folds,blend
EURUSD,30m+4h,atr_mid,21,9.270079268174225,1.670791682971684,-2.2189189189187775,0.6926240557370325,52.38095238095239,2.386934742430025,5.761904761904762,7.448040606966673,42.857142857142854,23.809523809523807,33.33333333333333,7378.509876381413,1891.5693917928181,8.965692931870128,4.66438716836303,1.0110664198057988,15,9.1062565590274,3,3,8.360059380600074
EURUSD,30m+4h,thr_0.5_soft,40,13.909662083724662,2.464078742524234,-2.8525895223524,0.6888101844528468,47.5,1.841782290043027,5.9,6.157639859570134,42.5,32.5,25.0,9544.854150415742,4364.807933308918,13.67343855291805,2.358975640126127,0.8943582319559595,29,7.6962230137153735,3,3,7.003860594350016
EURUSD,30m+4h,thr_0.5_hard,39,18.082021635267065,3.155348047862061,-2.970100000000009,0.7912084330401146,53.84615384615385,1.9086828473378314,9.282051282051283,6.606259417130149,53.84615384615385,46.15384615384615,0.0,7246.6271898351115,10835.394445431983,13.691555480668095,2.0674108289643027,0.8248488079583646,29,7.009010424672833,3,3,6.827772471278625
EURUSD,1h+1d,nm_5_15_soft,38,13.853047442943712,2.475285441517583,-3.3160115934999568,0.7249594954309521,50.0,1.8977966741004086,5.631578947368421,6.343671045296802,42.10526315789473,34.21052631578947,23.684210526315788,3952.764522176444,9900.282920767277,9.103930620070532,2.130539615505794,0.7702774022726526,24,7.007534640621272,3,3,6.708796022725261
EURUSD,1h+1d,nm_5_15_hard,37,14.242213890611355,2.5412096296587583,-3.3160115934999457,0.6770824363237061,51.35135135135135,1.7439243880583803,7.135135135135135,5.870019540930593,51.35135135135135,48.64864864864865,0.0,4626.704611013737,9615.509279597602,11.660046036064697,2.1274791961347006,0.8497949216733653,23,7.146251235140097,3,3,6.57194697274582
EURUSD,30m+4h,v1_soft_min4,36,11.09514688764519,1.986054765508971,-2.8525895223524,0.6110843767514842,50.0,1.7213283406853377,6.333333333333333,5.640763066851596,41.66666666666667,36.11111111111111,22.22222222222222,5925.895014970444,5169.2518726747885,10.601760001511384,2.1561191129098747,0.7670909632191761,26,7.0688922706636275,3,3,6.426234128948214
EURUSD,30m+4h,atr_low,20,5.932177733510868,1.082953459995184,-2.2189189189187886,0.4307035209380334,45.0,1.638239119391147,4.3,4.9847024490782115,45.0,40.0,15.0,2147.9853986776116,3784.1923348332234,8.15006443766264,2.1863676823036284,0.7644577376096577,17,7.100922615398369,3,3,6.148623540554299
EURUSD,1h+1d,thr_0.4_soft,40,13.634343662744385,2.4471028129826378,-2.5274554302670893,0.7738878335649534,47.5,1.8252998437302466,8.8,6.297339378197056,42.5,32.5,25.0,6531.011251680331,7103.332411064075,11.92819054959987,2.3001540440751587,0.9511692937696317,27,5.146343934300764,2,3,5.664291884054096
EURUSD,30m+4h,nm_5_20_hard,36,12.369390712076411,2.203680874621061,-2.9700999999999977,0.6109535618174895,50.0,1.639433899835865,9.694444444444445,5.455374687466169,50.0,50.0,0.0,3605.903422947832,8763.48728912859,8.549070964592076,1.6693634730250766,0.5923674426075007,26,5.812768819607325,3,3,5.651941460143805
EURUSD,30m+4h,v1_hard_htf55,36,12.369390712076411,2.203680874621061,-2.9700999999999977,0.6109535618174895,50.0,1.639433899835865,9.694444444444445,5.455374687466169,50.0,50.0,0.0,3605.903422947832,8763.48728912859,8.549070964592076,1.6693634730250766,0.5923674426075007,26,5.812768819607325,3,3,5.651941460143805
