side,bars_from_entry,n,hit_pct_at_H,mean_ret_at_H,median_ret_at_H,mean_mfe_in_H,mean_mae_in_H,first_close_favor_pct,first_close_adverse_pct,first_close_none_pct,first_ext_favor_pct,first_ext_adverse_pct,first_ext_none_pct,symbol,set,ltf
long,5,9760,48.17622950819672,-0.0006345928547178982,-0.0009188474130249802,0.0411873758555301,0.04213424678567814,48.34016393442623,51.63934426229508,0.020491803278688523,6.905737704918033,93.09426229508196,0.0,EURUSD,A_5m_30m_1h,5min
short,5,10365,46.71490593342981,-0.001354445377453449,-0.002476902880635944,0.04109272995251568,0.04122585272266563,47.178002894356005,52.81234925229137,0.00964785335262904,6.811384466956103,93.1886155330439,0.0,EURUSD,A_5m_30m_1h,5min
any,5,20125,47.42360248447205,-0.001005339259595115,-0.0017185969374524362,0.041138630276163914,0.041666395632230964,47.7416149068323,52.243478260869566,0.014906832298136646,6.857142857142858,93.14285714285714,0.0,EURUSD,A_5m_30m_1h,5min
long,10,9760,48.41188524590164,-0.0010227820389291146,-0.0016958134693203309,0.059196924105536584,0.060597845621143884,48.36065573770492,51.63934426229508,0.0,6.905737704918033,93.09426229508196,0.0,EURUSD,A_5m_30m_1h,5min
short,10,10365,45.952725518572116,-0.00210987636278612,-0.0042736869096870345,0.05821854504913163,0.059198873840408825,47.18765074770864,52.81234925229137,0.0,6.811384466956103,93.1886155330439,0.0,EURUSD,A_5m_30m_1h,5min
any,10,20125,47.14534161490683,-0.0015826693764087597,-0.0028781947962426644,0.05869302850704529,0.059877331707736736,47.756521739130434,52.243478260869566,0.0,6.857142857142858,93.14285714285714,0.0,EURUSD,A_5m_30m_1h,5min
long,20,9760,48.15573770491803,-0.0014672558222284502,-0.0027728118100275555,0.08453577575642116,0.08750954065209395,48.36065573770492,51.63934426229508,0.0,6.905737704918033,93.09426229508196,0.0,EURUSD,A_5m_30m_1h,5min
short,20,10365,46.91751085383502,-0.002223026931023047,-0.005227345989314345,0.08324706304836071,0.08372938392456772,47.18765074770864,52.81234925229137,0.0,6.811384466956103,93.1886155330439,0.0,EURUSD,A_5m_30m_1h,5min
any,20,20125,47.51801242236025,-0.0018565014144101145,-0.003849151743188445,0.08387204868963623,0.08556264254124626,47.756521739130434,52.243478260869566,0.0,6.857142857142858,93.14285714285714,0.0,EURUSD,A_5m_30m_1h,5min
long,5,3554,49.26842993809792,-0.002542165986005544,-0.000860467634557097,0.07099083176908312,0.07401153288527443,46.51097355092853,53.48902644907147,0.0,3.8829487900956665,96.11705120990433,0.0,EURUSD,B_15m_1h_4h,15min
