model,phase,n,accuracy,majority_baseline,edge_vs_majority_pp,no_edge_flag,precision_0,recall_0,precision_1,recall_1,roc_auc,bucket_accuracy_monotonic,up_rate,pred_up_rate,mean_p_up,bucket,bucket_n,bucket_accuracy,bucket_mean_p_up,bucket_actual_up_rate
A_y1,walk_forward_oos,262637,0.5089648450142211,0.5025263005593271,0.6438544454894002,True,0.5086619335935499,0.3800160728636485,0.5091440136705732,0.6366171144550015,0.5136534220925073,False,0.5025263005593271,0.628342541226103,0.5036060833036334,0.50-0.55,164641,0.509125916387777,0.5116384999057731,0.509125916387777
A_y1,walk_forward_oos,262637,0.5089648450142211,0.5025263005593271,0.6438544454894002,True,0.5086619335935499,0.3800160728636485,0.5091440136705732,0.6366171144550015,0.5136534220925073,False,0.5025263005593271,0.628342541226103,0.5036060833036334,0.55-0.60,379,0.5145118733509235,0.5579329802040652,0.5145118733509235
A_y1,walk_forward_oos,262637,0.5089648450142211,0.5025263005593271,0.6438544454894002,True,0.5086619335935499,0.3800160728636485,0.5091440136705732,0.6366171144550015,0.5136534220925073,False,0.5025263005593271,0.628342541226103,0.5036060833036334,0.60-0.65,4,0.75,0.6276236477725325,0.75
A_y1,walk_forward_oos,262637,0.5089648450142211,0.5025263005593271,0.6438544454894002,True,0.5086619335935499,0.3800160728636485,0.5091440136705732,0.6366171144550015,0.5136534220925073,False,0.5025263005593271,0.628342541226103,0.5036060833036334,0.65+,2,0.5,0.6996151106221641,0.5
A_y1,holdout_10pct,35852,0.5060526609394176,0.5082282717840009,-0.21756108445832867,True,0.5169491525423728,0.42851654684155643,0.4981203007518797,0.5861834269184958,0.5134615364442063,True,0.4917717282159991,0.5787124846591543,0.5022167635425849,0.50-0.55,20745,0.4980959267293324,0.5100940987445362,0.4980959267293324
A_y1,holdout_10pct,35852,0.5060526609394176,0.5082282717840009,-0.21756108445832867,True,0.5169491525423728,0.42851654684155643,0.4981203007518797,0.5861834269184958,0.5134615364442063,True,0.4917717282159991,0.5787124846591543,0.5022167635425849,0.55-0.60,3,0.6666666666666666,0.5621383855933919,0.6666666666666666
A_y1,holdout_10pct,35852,0.5060526609394176,0.5082282717840009,-0.21756108445832867,True,0.5169491525423728,0.42851654684155643,0.4981203007518797,0.5861834269184958,0.5134615364442063,True,0.4917717282159991,0.5787124846591543,0.5022167635425849,0.60-0.65,0,,,
A_y1,holdout_10pct,35852,0.5060526609394176,0.5082282717840009,-0.21756108445832867,True,0.5169491525423728,0.42851654684155643,0.4981203007518797,0.5861834269184958,0.5134615364442063,True,0.4917717282159991,0.5787124846591543,0.5022167635425849,0.65+,0,,,
A_y5,walk_forward_oos,262637,0.516096361137235,0.506604172298648,0.9492188838587046,True,0.5148345174765254,0.3338375108038029,0.5166899949610884,0.6936033009402268,0.5205891478364624,True,0.506604172298648,0.6800641189169843,0.509372034563317,0.50-0.55,169030,0.5142400757262025,0.5190782659028964,0.5142400757262025
A_y5,walk_forward_oos,262637,0.516096361137235,0.506604172298648,0.9492188838587046,True,0.5148345174765254,0.3338375108038029,0.5166899949610884,0.6936033009402268,0.5205891478364624,True,0.506604172298648,0.6800641189169843,0.509372034563317,0.55-0.60,9466,0.5589478132262835,0.5601116398884368,0.5589478132262835
A_y5,walk_forward_oos,262637,0.516096361137235,0.506604172298648,0.9492188838587046,True,0.5148345174765254,0.3338375108038029,0.5166899949610884,0.6936033009402268,0.5205891478364624,True,0.506604172298648,0.6800641189169843,0.509372034563317,0.60-0.65,102,0.6274509803921569,0.6112286075109672,0.6274509803921569
A_y5,walk_forward_oos,262637,0.516096361137235,0.506604172298648,0.9492188838587046,True,0.5148345174765254,0.3338375108038029,0.5166899949610884,0.6936033009402268,0.5205891478364624,True,0.506604172298648,0.6800641189169843,0.509372034563317,0.65+,12,0.75,0.6920208149625332,0.75
A_y5,holdout_10pct,35852,0.5107664844360147,0.5117148276246792,-0.09483431886645466,True,0.5316973415132924,0.3684726915948981,0.49926527789783043,0.6598880383868388,0.5222323488248766,True,0.48828517237532076,0.6453754323329243,0.5067984710624506,0.50-0.55,22944,0.49834379358437936,0.5169342511011017,0.49834379358437936
A_y5,holdout_10pct,35852,0.5107664844360147,0.5117148276246792,-0.09483431886645466,True,0.5316973415132924,0.3684726915948981,0.49926527789783043,0.6598880383868388,0.5222323488248766,True,0.48828517237532076,0.6453754323329243,0.5067984710624506,0.55-0.60,193,0.6062176165803109,0.5562557142116086,0.6062176165803109
A_y5,holdout_10pct,35852,0.5107664844360147,0.5117148276246792,-0.09483431886645466,True,0.5316973415132924,0.3684726915948981,0.49926527789783043,0.6598880383868388,0.5222323488248766,True,0.48828517237532076,0.6453754323329243,0.5067984710624506,0.60-0.65,1,1.0,0.6370591098402298,1.0
