pct_bars_majority,mean_long_votes,mean_short_votes,max_agree_long,max_agree_short,n_agents,symbol,panel,min_agree
0.6208395095337849,0.07589094923488511,0.08385186727265995,3,3,3,EURUSD,abc_only,2
0.0007006088290724639,0.07589094923488511,0.08385186727265995,3,3,3,EURUSD,abc_only,3
0.28619870667610153,0.07589094923488511,0.08385186727265995,3,3,3,EURUSD,abc_only_longOnly,2
0.0005004348779089029,0.07589094923488511,0.08385186727265995,3,3,3,EURUSD,abc_only_longOnly,3
4.402425707940201,0.17166017269006767,0.09227768931201213,6,5,10,EURUSD,abc_plus_research,2
0.49017596291177035,0.17166017269006767,0.09227768931201213,6,5,10,EURUSD,abc_plus_research,3
0.026172744114635615,0.17166017269006767,0.09227768931201213,6,5,10,EURUSD,abc_plus_research,4
3.8863272183527484,0.17166017269006767,0.09227768931201213,6,5,10,EURUSD,abc_plus_research_longOnly,2
0.43918164885285316,0.17166017269006767,0.09227768931201213,6,5,10,EURUSD,abc_plus_research_longOnly,3
0.02121843882333748,0.17166017269006767,0.09227768931201213,6,5,10,EURUSD,abc_plus_research_longOnly,4
4.232878371304664,0.16953282402407693,0.08995867408778228,5,3,7,EURUSD,abc_plus_dvmr_mv,2
0.40069820674165857,0.16953282402407693,0.08995867408778228,5,3,7,EURUSD,abc_plus_dvmr_mv,3
0.013511741703540378,0.16953282402407693,0.08995867408778228,5,3,7,EURUSD,abc_plus_dvmr_mv,4
3.806908203228606,0.16953282402407693,0.08995867408778228,5,3,7,EURUSD,abc_plus_dvmr_mv_longOnly,2
0.39649455376722376,0.16953282402407693,0.08995867408778228,5,3,7,EURUSD,abc_plus_dvmr_mv_longOnly,3
0.013511741703540378,0.16953282402407693,0.08995867408778228,5,3,7,EURUSD,abc_plus_dvmr_mv_longOnly,4
0.5909283565045904,0.09762652867496238,0.056540769753115144,3,3,3,US30,abc_only,2
0.0030024304674634117,0.09762652867496238,0.056540769753115144,3,3,3,US30,abc_only,3
0.3952699710415581,0.09762652867496238,0.056540769753115144,3,3,3,US30,abc_only_longOnly,2
0.0015012152337317058,0.09762652867496238,0.056540769753115144,3,3,3,US30,abc_only_longOnly,3
3.8838940122028784,0.18389936653721187,0.06203621831872901,6,5,10,US30,abc_plus_research,2
0.46097315777121584,0.18389936653721187,0.06203621831872901,6,5,10,US30,abc_plus_research,3
0.02201782342806502,0.18389936653721187,0.06203621831872901,6,5,10,US30,abc_plus_research,4
3.5630342762466216,0.18389936653721187,0.06203621831872901,6,5,10,US30,abc_plus_research_longOnly,2
0.41478576908007037,0.18389936653721187,0.06203621831872901,6,5,10,US30,abc_plus_research_longOnly,3
0.01911547397618372,0.18389936653721187,0.06203621831872901,6,5,10,US30,abc_plus_research_longOnly,4
3.70544956141997,0.18142336221171038,0.059899488636050886,4,3,7,US30,abc_plus_dvmr_mv,2
0.37440307929268746,0.18142336221171038,0.059899488636050886,4,3,7,US30,abc_plus_dvmr_mv,3
0.01050850663612194,0.18142336221171038,0.059899488636050886,4,3,7,US30,abc_plus_dvmr_mv,4
3.466806379764419,0.18142336221171038,0.059899488636050886,4,3,7,US30,abc_plus_dvmr_mv_longOnly,2
0.3701496361304476,0.18142336221171038,0.059899488636050886,4,3,7,US30,abc_plus_dvmr_mv_longOnly,3
0.01050850663612194,0.18142336221171038,0.059899488636050886,4,3,7,US30,abc_plus_dvmr_mv_longOnly,4
